Year,Question Number,Answer
2014,1,b
2014,2,a
2014,3,a
2014,4,d
2014,5,c
2014,6,a
2014,7,a
2014,8,c
2014,9,c
2014,10,b
2014,11,b
2014,12,b
2014,13,c
2014,14,c
2014,15,c
2014,16,c
2014,17,c
2014,18,b
2014,19,c
2014,20,b
2014,21,b
2014,22,b
2014,23,a
2014,24,d
2014,25,c
2014,26,b
2014,27,d
2014,28,b
2014,29,d
2014,30,c
2014,31,a
2014,32,c
2014,33,a
2014,34,d
2014,35,d
2014,36,a
2014,37,a
2014,38,d
2014,39,b
2014,40,b
2014,41,a
2014,42,b
2014,43,c
2014,44,c
2014,45,b
2014,46,a
2014,47,c
2014,48,c
2014,49,d
2014,50,a
2014,51,b
2014,52,c
2014,53,b
2014,54,d
2014,55,b
2014,56,c
2014,57,c
2014,58,c
2014,59,b
2014,60,b
2014,61,c
2014,62,a
2014,63,c
2014,64,c
2014,65,b
2014,66,d
2014,67,c
2014,68,b
2014,69,d
2014,70,b
2014,71,c
2014,72,b
2014,73,d
2014,74,a
2014,75,b
2014,76,b
2014,77,d
2014,78,d
2014,79,c
2014,80,a
2014,81,b
2014,82,b
2014,83,b
2014,84,a
2014,85,c
2014,86,a
2014,87,d
2014,88,c
2014,89,c
2014,90,d
2014,91,b
2014,92,a
2014,93,c
2014,94,b
2014,95,d
2014,96,b
2014,97,a
2014,98,d
2014,99,a
2014,100,c
2015,1,c
2015,2,a
2015,3,b
2015,4,a
2015,5,b
2015,6,d
2015,7,c
2015,8,b
2015,9,b
2015,10,a
2015,11,c
2015,12,b
2015,13,a
2015,14,b
2015,15,a
2015,16,b
2015,17,b
2015,18,a
2015,19,c
2015,20,d
2015,21,d
2015,22,c
2015,23,c
2015,24,b
2015,25,c
2015,26,d
2015,27,b
2015,28,b
2015,29,c
2015,30,d
2015,31,c
2015,32,c
2015,33,b
2015,34,c
2015,35,b
2015,36,d
2015,37,a
2015,38,d
2015,39,d
2015,40,b
2015,41,b
2015,42,d
2015,43,a
2015,44,d
2015,45,c
2015,46,b
2015,47,c
2015,48,b
2015,49,a
2015,50,c
2015,51,a
2015,52,d
2015,53,b
2015,54,b
2015,55,b
2015,56,d
2015,57,b
2015,58,c
2015,59,a
2015,60,c
2015,61,d
2015,62,b
2015,63,c
2015,64,c
2015,65,b
2015,66,b
2015,67,d
2015,68,a
2015,69,a
2015,70,d
2015,71,a
2015,72,c
2015,73,d
2015,74,c
2015,75,a
2015,76,c
2015,77,b
2015,78,a
2015,79,c
2015,80,b
2015,81,b
2015,82,d
2015,83,d
2015,84,c
2015,85,c
2015,86,c
2015,87,c
2015,88,a
2015,89,b
2015,90,b
2015,91,d
2015,92,d
2015,93,d
2015,94,c
2015,95,a
2015,96,a
2015,97,b
2015,98,a
2015,99,c
2015,100,c
2016,1,b
2016,2,c
2016,3,c
2016,4,b
2016,5,c
2016,6,b
2016,7,d
2016,8,c
2016,9,c
2016,10,b
2016,11,a
2016,12,d
2016,13,c
2016,14,d
2016,15,c
2016,16,c
2016,17,c
2016,18,d
2016,19,c
2016,20,b
2016,21,b
2016,22,d
2016,23,a
2016,24,b
2016,25,d
2016,26,c
2016,27,b
2016,28,d
2016,29,a
2016,30,c
2016,31,b
2016,32,a
2016,33,c
2016,34,c
2016,35,b
2016,36,a
2016,37,c
2016,38,d
2016,39,b
2016,40,b
2016,41,d
2016,42,a
2016,43,c
2016,44,a
2016,45,a
2016,46,c
2016,47,a
2016,48,c
2016,49,a
2016,50,b
2016,51,b
2016,52,c
2016,53,a
2016,54,d
2016,55,a
2016,56,c
2016,57,a
2016,58,c
2016,59,d
2016,60,b
2016,61,a
2016,62,b
2016,63,d
2016,64,d
2016,65,b
2016,66,b
2016,67,b
2016,68,d
2016,69,b
2016,70,a
2016,71,c
2016,72,d
2016,73,a
2016,74,d
2016,75,b
2016,76,c
2016,77,b
2016,78,d
2016,79,d
2016,80,d
2016,81,a
2016,82,b
2016,83,d
2016,84,c
2016,85,b
2016,86,b
2016,87,d
2016,88,c
2016,89,d
2016,90,d
2016,91,c
2016,92,b
2016,93,d
2016,94,c
2016,95,d
2016,96,d
2016,97,b
2016,98,b
2016,99,a
2016,100,b
2017,1,d
2017,2,c
2017,3,a
2017,4,a
2017,5,a
2017,6,b
2017,7,b
2017,8,c
2017,9,a
2017,10,b
2017,11,a
2017,12,b
2017,13,c
2017,14,c
2017,15,d
2017,16,b
2017,17,d
2017,18,c
2017,19,c
2017,20,b
2017,21,c
2017,22,b
2017,23,a
2017,24,b
2017,25,d
2017,26,d
2017,27,a
2017,28,d
2017,29,c
2017,30,b
2017,31,c
2017,32,a
2017,33,c
2017,34,c
2017,35,d
2017,36,d
2017,37,b
2017,38,b
2017,39,c
2017,40,a
2017,41,a
2017,42,a
2017,43,d
2017,44,a
2017,45,d
2017,46,c
2017,47,a
2017,48,a
2017,49,b
2017,50,d
2017,51,b
2017,52,a
2017,53,b
2017,54,c
2017,55,d
2017,56,b
2017,57,c
2017,58,b
2017,59,c
2017,60,b
2017,61,b
2017,62,d
2017,63,d
2017,64,b
2017,65,b
2017,66,b
2017,67,b
2017,68,b
2017,69,a
2017,70,a
2017,71,d
2017,72,b
2017,73,d
2017,74,c
2017,75,a
2017,76,d
2017,77,b
2017,78,c
2017,79,c
2017,80,b
2017,81,a
2017,82,a
2017,83,a
2017,84,c
2017,85,d
2017,86,c
2017,87,b
2017,88,d
2017,89,b
2017,90,d
2017,91,a
2017,92,a
2017,93,c
2017,94,d
2017,95,b
2017,96,b
2017,97,c
2017,98,a
2017,99,c
2017,100,d
2018,1,b
2018,2,d
2018,3,c
2018,4,b
2018,5,a
2018,6,c
2018,7,a
2018,8,d
2018,9,c
2018,10,a
2018,11,c
2018,12,d
2018,13,a
2018,14,d
2018,15,c
2018,16,a
2018,17,c
2018,18,d
2018,19,a
2018,20,b
2018,21,b
2018,22,b
2018,23,a
2018,24,b
2018,25,b
2018,26,d
2018,27,d
2018,28,a
2018,29,a
2018,30,a
2018,31,c
2018,32,a
2018,33,a
2018,34,c
2018,35,b
2018,36,b
2018,37,b
2018,38,b
2018,39,a
2018,40,b
2018,41,c
2018,42,d
2018,43,c
2018,44,b
2018,45,c
2018,46,b
2018,47,c
2018,48,c
2018,49,c
2018,50,d
2018,51,c
2018,52,c
2018,53,b
2018,54,a
2018,55,d
2018,56,c
2018,57,c
2018,58,c
2018,59,c
2018,60,d
2018,61,a
2018,62,d
2018,63,b
2018,64,b
2018,65,a
2018,66,b
2018,67,d
2018,68,d
2018,69,c
2018,70,d
2018,71,b
2018,72,a
2018,73,b
2018,74,c
2018,75,b
2018,76,d
2018,77,a
2018,78,c
2018,79,a
2018,80,b
2018,81,b
2018,82,b
2018,83,b
2018,84,d
2018,85,a
2018,86,b
2018,87,d
2018,88,c
2018,89,b
2018,90,c
2018,91,b
2018,92,c
2018,93,b
2018,94,a
2018,95,a
2018,96,b
2018,97,c
2018,98,a
2018,99,d
2018,100,b
2019,1,d
2019,2,b
2019,3,c
2019,4,a
2019,5,c
2019,6,d
2019,7,c
2019,8,a
2019,9,d
2019,10,a
2019,11,d
2019,12,a
2019,13,d
2019,14,b
2019,15,d
2019,16,a
2019,17,c
2019,18,d
2019,19,c
2019,20,a
2019,21,a
2019,22,a
2019,23,a
2019,24,b
2019,25,d
2019,26,d
2019,27,a
2019,28,d
2019,29,c
2019,30,a
2019,31,d
2019,32,d
2019,33,a
2019,34,d
2019,35,d
2019,36,a
2019,37,b
2019,38,a
2019,39,a
2019,40,b
2019,41,d
2019,42,d
2019,43,b
2019,44,b
2019,45,b
2019,46,c
2019,47,a
2019,48,a
2019,49,a
2019,50,b
2019,51,c
2019,52,b
2019,53,c
2019,54,b
2019,55,d
2019,56,b
2019,57,c
2019,58,b
2019,59,c
2019,60,a
2019,61,b
2019,62,a
